proximity, shade, brightness
199,262658,8
201,262658,7
199,262658,7
199,262657,7
199,262658,8
198,262658,7
199,262658,7
199,262658,8
200,262657,7
198,262658,8
200,262658,8
200,262657,7
198,262658,8
200,262657,7
198,262658,7
198,262658,8
199,262657,7
202,262658,7
199,262658,7
200,262657,7
200,262658,7
198,262657,7
199,262657,7
197,262658,8
199,262657,7
199,262658,8
198,262658,7
200,262657,7
200,262657,7
197,262658,8
199,262658,7
200,262658,8
200,262657,7
201,262658,7
199,262657,7
199,262657,7
200,262658,7
200,262658,7
198,262657,7
199,262657,7
198,262657,7
199,262658,7
201,262658,7
198,262658,7
198,262657,7
200,262657,7
200,262658,7
201,262657,7
199,262658,8
200,262657,7
199,262657,7
199,262658,7
199,262657,7
200,262657,7
200,262658,7
199,262657,7
199,262657,7
201,262657,7
197,262658,8
202,262657,7
200,262657,7
198,262657,7
198,262658,7
198,262658,7
198,262658,7
200,262658,7
199,262658,7
197,262658,7
197,262658,7
199,262657,7
200,262657,7
198,262657,7
201,262658,7
202,262658,7
199,262657,7
200,262657,7
197,262657,7
198,262658,7
198,262657,7
199,262658,7
200,262657,7
200,262658,7
200,262658,7
198,262658,7
199,262658,7
199,262658,7
199,262658,7
200,262657,7
198,262658,7
199,262658,7
198,262658,7
198,262658,7
200,262658,7
199,262657,7
199,262657,7
200,262657,7
200,262658,8
198,262657,7
197,262658,7
199,262658,7
200,262658,7
199,262657,7
197,262658,8
198,262658,8
200,262658,8
199,262658,7
197,262658,7
199,262658,7
198,262658,7
199,262658,7
201,262658,7
198,262657,7
201,262658,8
199,262658,7
198,262657,7
199,262658,7
200,262657,7
198,262658,7
197,262658,7
199,262658,7
199,262658,7
197,262657,7
199,262658,7
198,262657,7
199,262658,7
201,262658,7
201,262658,7
199,262657,7
199,262657,7
199,262657,7
199,262658,7
199,262658,7
198,262658,7
199,262658,7
198,262658,7
201,262658,7
199,262658,7
197,262658,7
201,262657,7
199,262657,7
199,262657,7
198,262658,7
199,262658,7
199,262658,7
201,262657,7
197,262658,7
199,262657,7
198,262658,7
198,262657,7
198,262657,7
197,262657,7
199,262658,7
198,262657,7
202,262658,7
199,262658,7
199,262657,7
202,262657,7
196,262657,7
198,262658,7
197,262658,7
196,262658,7
201,262658,7
199,262657,7
200,262658,7
197,262657,7
199,262657,7
199,262657,7
199,262658,7
199,262658,7
199,262658,7
200,262658,7
199,262658,7
199,262658,7
199,262657,7
200,262657,7
199,262658,7
200,262658,7
199,262658,7
199,262657,7
198,262657,7
199,262658,7
200,262657,7
197,262658,7
200,262657,7
199,262657,7
200,262657,7
199,262657,7
199,262658,7
199,262658,7
199,262658,7
198,262658,7
198,262657,7
199,262658,7
197,262657,7
198,262657,7
200,262658,7
200,262658,7
198,262658,7
200,262657,7
199,262658,7
200,262657,7
198,262657,7
198,262657,7
199,262657,7
200,262658,7
199,262657,7
198,262658,7
199,262657,7
199,262657,7
199,262657,7
200,262658,7
200,262658,7
200,262658,7
201,262658,7
199,262657,7
198,788742,26
199,525572,17
199,525572,16
199,525572,16
201,525572,17
198,525572,16
200,525572,16
200,525572,16
198,525572,16
200,525572,16
198,525572,16
200,525572,17
200,525572,16
198,525572,17
198,525572,17
200,525572,17
198,459779,15
200,459779,14
199,394243,13
200,394243,13
198,393987,12
199,393987,12
199,393987,12
199,393987,12
199,393987,12
199,393987,12
199,393986,12
198,393987,12
200,393986,12
200,393986,11
200,393986,11
198,393986,11
198,393986,11
198,393986,11
200,393986,11
200,328450,11
199,393986,11
199,328450,11
200,393986,11
199,328450,11
199,328450,11
199,393986,11
200,328450,11
199,328450,11
198,328450,11
200,328450,11
200,328450,11
200,328450,11
199,328450,11
199,328450,11
199,328450,11
199,328450,11
199,328450,11
198,393986,11
198,328450,11
199,328450,11
199,393986,11
198,328450,11
198,328450,11
200,328450,11
200,328450,11
201,393986,11
199,328450,11
201,328450,11
198,328450,11
199,328450,11
200,393986,11
197,328450,11
199,328450,11
198,328450,11
199,328450,11
199,328450,11
200,328450,11
198,393986,11
198,328450,11
199,393986,11
198,393986,12
198,393987,12
197,393987,12
198,394243,13
197,459779,13
198,459779,14
199,459779,14
199,459779,14
199,459779,14
200,459779,14
198,459779,13
197,459779,14
199,459779,14
199,459779,14
199,459779,14
197,459779,14
200,459779,14
198,459779,14
201,459779,14
201,459779,14
199,459779,14
197,394243,14
198,394243,14
199,394243,15
200,394243,14
199,459779,14
198,459779,14
198,459779,14
198,394243,13
198,393987,12
200,393986,11
197,328450,11
199,328450,10
199,328194,10
201,328194,10
198,328194,10
198,328194,10
198,328194,10
198,328194,10
199,328194,10
199,328194,10
199,328194,9
199,328194,9
199,328194,10
197,328194,10
200,328194,10
199,328194,10
198,328194,9
201,328194,10
197,328194,10
196,328194,10
199,328450,10
201,328194,10
196,328194,10
200,328450,10
199,328450,10
198,328450,10
199,328450,10
198,328450,10
200,328450,10
197,328450,10
198,328450,10
199,328450,10
200,328450,11
199,328450,11
201,328450,11
200,328450,11
199,328450,11
200,328450,10
198,328450,10
199,328450,10
199,328194,10
199,328450,10
197,328194,10
198,328194,10
199,328194,10
199,328194,10
199,328450,10
199,328450,10
199,328450,10
199,328194,10
199,328450,10
199,393986,11
199,393987,13
200,394243,13
201,394243,13
199,394243,13
198,393987,13
199,393987,13
200,394243,13
