proximity,shade,brightness
99,393987,12
100,393987,12
101,393987,12
98,393987,12
99,393987,12
98,393987,12
98,393987,12
95,393987,12
99,393987,12
98,393987,12
96,393987,12
98,393987,12
98,393987,12
100,393987,12
97,393987,12
97,393987,12
98,393987,12
100,393987,12
100,393987,12
100,393987,12
99,393987,12
100,393987,12
99,393987,12
98,393987,12
100,393986,11
91,328450,9
146,65536,2
200,262657,7
200,262657,7
200,262657,7
199,262657,7
198,262657,7
201,262657,7
199,262657,7
199,262657,7
200,262657,7
199,262657,7
199,262657,7
200,262657,7
202,262657,7
199,262657,7
199,262657,7
201,262657,7
200,262657,7
198,262657,7
199,262657,7
199,262657,7
199,262657,7
199,262657,7
199,262657,7
198,262657,7
238,0,1
237,0,1
238,0,1
236,0,1
237,0,1
237,0,1
236,0,1
242,0,1
237,0,1
238,0,1
235,0,1
237,0,1
237,0,1
238,0,1
238,0,1
238,0,1
238,0,1
237,0,1
238,0,1
237,0,1
238,0,1
239,0,1
238,0,1
237,0,1
239,0,1
237,0,1
235,0,1
200,131329,3
198,262657,7
198,262657,7
199,262657,7
198,262657,7
198,262657,7
198,262657,7
197,262657,7
202,262657,7
199,262657,7
198,262657,7
199,262657,7
196,262657,7
202,262657,7
198,262657,7
198,262657,7
199,262657,7
198,262657,7
199,262657,7
198,262657,7
201,262657,7
200,262657,7
201,262657,7
198,262657,7
239,65793,3
237,65793,3
238,65793,3
238,65793,3
237,65793,3
238,65793,3
237,65793,3
239,65793,3
239,65793,3
236,65793,3
238,65793,3
238,65793,3
238,65793,3
238,65793,3
240,65793,3
237,65793,3
238,65793,3
237,65793,3
239,65793,3
237,65793,3
237,65793,3
239,65793,3
238,65793,3
238,65793,3
237,65793,3
238,65793,3
238,65793,3
232,65793,3
193,0,0
199,394500,14
198,591621,20
198,591621,20
197,591365,19
200,591364,19
199,525828,18
199,525572,17
198,525828,18
200,328194,9
199,262657,7
199,262657,7
198,262657,7
201,262657,7
198,262657,7
199,262657,7
199,262657,7
196,262657,7
199,262657,7
199,262657,7
199,262657,7
201,262657,7
199,262657,7
183,131329,5
184,131329,5
185,131329,5
187,131329,5
186,131329,5
183,131329,5
188,131329,5
186,131329,5
183,131329,5
187,131329,5
183,131329,5
184,131329,5
185,131329,5
184,131329,5
184,131329,5
183,131329,5
185,131329,5
183,131329,5
182,131329,5
184,131329,5
182,131329,5
184,131329,5
188,131329,5
187,131329,5
186,131329,5
185,131329,5
184,131329,5
180,65536,1
127,65536,1
199,197121,6
199,262657,7
199,262657,7
199,262657,7
198,262657,7
199,262657,7
199,262657,7
200,262657,7
199,262657,7
200,262657,7
200,262657,7
199,262657,7
200,262657,7
196,262657,7
199,262657,7
198,262657,7
200,262657,7
199,262657,7
199,262657,7
199,262657,7
197,262657,7
197,262657,7
150,328194,8
150,328194,8
148,328194,8
150,328193,8
148,328194,8
150,328193,8
151,328194,8
150,328193,8
147,328194,8
151,328194,8
149,328194,8
151,328193,8
147,328194,8
150,328194,8
150,328194,8
147,393986,12
148,393986,10
148,393986,11
147,393986,11
146,393986,11
150,393986,11
148,393986,11
149,393986,11
150,393986,10
147,328194,8
150,328194,8
151,328450,9
151,394242,12
149,394242,12
78,131329,3
199,262657,7
196,262658,8
199,262658,8
198,262658,7
199,262658,8
199,262658,8
198,262657,7
199,262658,7
197,262658,7
200,262658,7
200,262657,7
200,262657,7
198,262657,7
199,262657,7
200,262657,7
199,262657,7
199,262657,7
199,262657,7
201,262657,7
198,262657,7
197,262657,7
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
64,0,0
190,0,1
200,131329,4
196,328450,11
200,262657,7
200,262658,7
200,262658,7
201,262658,7
198,262657,7
199,262658,7
200,262658,8
198,328450,9
199,328450,9
199,328194,9
199,328194,9
203,328194,9
200,328450,9
199,262658,8
199,262657,7
200,262657,7
200,262657,7
238,131585,6
238,131585,6
238,131585,6
238,131585,6
241,131585,6
238,131585,6
238,131585,6
238,131585,6
240,131585,6
239,131585,6
239,131586,6
238,131586,7
238,131585,6
237,65793,2
238,0,1
239,0,1
238,65536,1
238,65536,1
239,65536,1
239,65536,1
237,65536,1
237,65536,1
235,0,1
238,0,1
238,0,1
238,0,1
239,0,1
239,0,1
239,0,1
237,0,1
239,0,1
238,0,1
237,0,1
237,0,1
237,0,1
239,0,1
237,0,1
240,0,1
177,0,0
198,196865,5
201,262657,7
200,262657,7
199,262657,7
199,262657,7
199,262657,7
199,262657,7
199,262657,7
198,262657,7
199,262657,7
198,262657,7
199,262657,7
240,0,1
237,0,1
238,0,1
236,0,1
238,0,1
236,0,1
236,0,1
235,0,1
238,0,1
236,0,1
237,0,1
237,0,1
239,0,1
237,0,1
237,0,1
238,0,1
237,0,1
238,0,1
239,0,1
236,0,1
239,0,1
238,0,1
239,0,1
238,0,1
236,0,1
238,0,1
237,0,1
238,0,1
237,0,1
239,0,1
237,0,1
237,0,1
237,0,1
239,0,1
238,0,1
238,0,1
238,0,1
239,0,1
237,0,0
236,0,1
216,0,0
198,65536,2
199,197121,6
199,262657,7
198,262657,7
199,262657,7
199,262657,7
199,262657,7
199,262657,7
198,262657,7
198,262657,7
90,525829,18
87,591365,19
89,591365,19
88,723207,26
91,657158,23
91,591365,19
89,460036,15
88,459779,14
89,459779,15
89,591365,19
90,657414,24
88,591365,20
89,459779,14
90,459779,13
89,459779,13
90,591365,20
87,657414,25
90,591365,20
81,525829,18
90,525572,16
7,262914,9
198,197121,6
199,328194,9
197,328194,9
198,328194,9
198,262658,9
198,328194,9
199,262658,8
198,262657,7
201,262657,7
200,262657,7
200,262657,7
198,262658,8
200,328194,9
199,262658,8
201,262657,7
198,262657,7
199,262657,7
201,262657,7
199,262658,8
198,328194,9
198,262658,7
200,262657,7
198,262657,7
199,262657,7
198,262657,7
198,262657,7
197,262658,8
198,262658,8
199,262657,7
199,393986,11
91,789000,31
94,723207,28
93,723208,29
93,723207,28
92,723207,28
94,723207,28
92,723207,27
93,723207,28
92,723207,27
92,657415,26
93,722951,26
93,722951,26
92,657414,25
94,657158,23
93,591621,21
91,591365,20
90,525829,19
86,525829,19
91,525829,19
98,525829,19
90,525572,17
80,460036,16
92,459779,14
82,459779,15
56,394243,12
66,131329,5
198,262658,8
199,328450,10
200,328450,10
199,328450,11
200,328450,10
197,328450,10
200,328450,10
198,328450,10
199,328450,10
199,328450,10
198,328450,10
197,328450,10
200,328450,10
199,328450,10
200,328450,10
