proximity, shade, brightness
200,262657,7
198,262657,7
199,262657,7
197,262657,7
196,262658,7
200,262658,8
198,262658,7
200,262658,7
200,262657,7
199,262658,7
199,262658,7
198,262657,7
200,262658,7
201,262657,7
199,262657,7
200,262657,7
200,262657,7
198,262657,7
199,262658,7
200,262657,7
198,262658,7
200,262658,7
198,131329,4
0,262658,8
69,328194,9
82,328450,9
81,328450,10
91,394243,13
93,394243,13
93,394243,13
91,394243,13
90,394243,13
94,394243,13
93,394243,13
95,394243,13
95,393987,12
95,393987,12
96,393987,12
93,393987,12
96,393987,12
96,393987,12
94,393987,12
96,393987,12
96,393987,12
97,393987,12
95,393987,12
97,393987,12
95,393987,12
97,393987,12
94,393987,12
99,393987,12
200,525572,16
199,525572,16
200,525572,17
199,525572,17
199,525572,17
199,525572,17
200,525572,17
199,525572,17
198,525572,17
198,525572,17
200,525572,17
200,525572,17
198,525572,17
200,525572,17
197,525572,17
199,525572,17
199,525572,17
202,525572,17
198,525572,17
199,525572,17
199,525572,17
199,460035,15
110,131329,4
0,262658,9
58,723207,26
73,525829,19
93,723207,27
94,657157,22
94,657157,23
96,657158,23
95,657157,23
96,657157,23
97,657158,24
94,657158,25
98,657158,25
97,657158,23
97,657158,24
99,657158,23
97,657157,23
99,657157,23
98,657157,23
100,657158,24
100,657158,24
101,657158,24
100,657158,24
99,657158,24
103,657157,23
100,657158,24
101,657158,24
98,657157,23
102,657158,24
199,525572,18
198,525572,18
199,525572,18
199,525572,18
199,525572,17
198,525572,18
196,525572,18
199,525572,18
199,525828,18
197,591364,19
198,591364,19
199,591364,19
199,591364,19
199,591364,19
199,591364,19
197,591365,20
199,591364,20
198,591364,19
200,525572,18
198,525572,18
197,525572,18
200,525572,17
198,525572,17
199,459779,15
197,262914,9
0,328450,10
84,459780,16
85,460036,17
96,591621,22
97,591365,21
98,657158,24
96,722951,27
97,789000,31
97,789000,31
95,722950,26
96,459780,16
97,394243,13
97,393987,12
95,393987,12
95,393987,12
96,393987,12
95,393987,12
98,394243,13
96,525572,18
96,657415,26
95,591365,19
96,394243,13
93,393987,12
97,393987,12
97,393987,12
96,394243,13
197,262657,7
200,262657,7
199,262657,7
200,262657,7
199,262657,7
199,262657,7
198,262657,7
199,262657,7
200,262657,7
198,262657,7
199,262657,7
199,262657,7
199,262657,7
198,262657,7
200,262657,7
198,262657,7
202,262657,7
200,262657,7
198,262657,7
197,262657,7
198,262657,7
198,262657,7
200,196865,6
